date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,tradestatus,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2012-09-21,sh.000001,2020.5540,2041.9480,2018.2630,2026.6900,2024.8370,6028945600,47695123366.0000,0.003157,0.091509,1,,,,,0
2012-09-24,sh.000001,2015.7670,2040.8500,2005.2630,2033.1920,2026.6900,5763777900,45575601287.0000,0.003018,0.320822,1,,,,,0
2012-09-25,sh.000001,2028.6330,2039.0960,2021.8090,2029.2930,2033.1920,4821940800,38445162494.0000,0.002525,-0.191770,1,,,,,0
2012-09-26,sh.000001,2027.8550,2033.0360,1999.4840,2004.1720,2029.2930,5040082800,38415066392.0000,0.002639,-1.237917,1,,,,,0
2012-09-27,sh.000001,2003.0990,2068.0710,2002.3240,2056.3230,2004.1720,7669145700,60338935875.0000,0.004015,2.602122,1,,,,,0
2012-09-28,sh.000001,2042.8860,2089.6330,2040.3500,2086.1690,2056.3230,7944895200,64802323507.0000,0.004159,1.451423,1,,,,,0
2012-10-08,sh.000001,2084.8490,2096.2590,2063.0890,2074.4190,2086.1690,5513161200,44793732470.0000,0.002886,-0.563233,1,,,,,0
2012-10-09,sh.000001,2081.5890,2119.3360,2081.5890,2115.2300,2074.4190,8456378800,67520373269.0000,0.004426,1.967348,1,,,,,0
2012-10-10,sh.000001,2111.5870,2121.9920,2102.5350,2119.9420,2115.2300,7891203500,60531573749.0000,0.004131,0.222761,1,,,,,0
2012-10-11,sh.000001,2114.2320,2117.8390,2101.1400,2102.8680,2119.9420,7449702900,56744435900.0000,0.003898,-0.805398,1,,,,,0
2012-10-12,sh.000001,2109.0700,2127.3070,2092.5110,2104.9320,2102.8680,6826297200,51434044796.0000,0.003572,0.098150,1,,,,,0
2012-10-15,sh.000001,2105.0240,2107.1990,2085.1150,2098.7030,2104.9320,5394075100,42308632843.0000,0.002821,-0.295924,1,,,,,0
2012-10-16,sh.000001,2097.0500,2111.7800,2089.6950,2098.8080,2098.7030,5781843800,47242197205.0000,0.003024,0.005014,1,,,,,0
2012-10-17,sh.000001,2104.2800,2113.1620,2088.0440,2105.6180,2098.8080,5987406500,47070596465.0000,0.003132,0.324461,1,,,,,0
2012-10-18,sh.000001,2108.4980,2137.6860,2107.4920,2131.6880,2105.6180,8719109200,65711759568.0000,0.004560,1.238120,1,,,,,0
2012-10-19,sh.000001,2129.8200,2136.8690,2125.7360,2128.3020,2131.6880,6764127900,50605600280.0000,0.003538,-0.158841,1,,,,,0
2012-10-22,sh.000001,2118.5210,2138.0270,2112.7520,2132.7580,2128.3020,6011722200,47534435094.0000,0.003144,0.209371,1,,,,,0
2012-10-23,sh.000001,2132.1080,2136.2180,2111.9230,2114.4470,2132.7580,7268380600,54013091665.0000,0.003801,-0.858561,1,,,,,0
2012-10-24,sh.000001,2106.8300,2123.9980,2104.6700,2115.9900,2114.4470,7288661800,49728088898.0000,0.003812,0.072973,1,,,,,0
2012-10-25,sh.000001,2114.7640,2128.7400,2100.6090,2101.5800,2115.9900,8539310900,55690216572.0000,0.004466,-0.681001,1,,,,,0
2012-10-26,sh.000001,2100.1000,2102.1620,2058.0630,2066.2090,2101.5800,7860643500,54248873731.0000,0.004111,-1.683071,1,,,,,0
2012-10-29,sh.000001,2061.8470,2068.2370,2053.0920,2058.9430,2066.2090,5363500900,39078111019.0000,0.002804,-0.351652,1,,,,,0
2012-10-30,sh.000001,2059.2020,2075.9050,2054.2640,2062.3470,2058.9430,6056909200,42767334901.0000,0.003163,0.165318,1,,,,,0
2012-10-31,sh.000001,2061.1240,2070.4790,2053.5830,2068.8800,2062.3470,5952723400,43159088527.0000,0.003108,0.316773,1,,,,,0
2012-11-01,sh.000001,2070.0200,2109.4960,2069.9470,2104.4280,2068.8800,8288667000,62606643902.0000,0.004328,1.718229,1,,,,,0
2012-11-02,sh.000001,2105.4490,2119.2240,2096.5310,2117.0460,2104.4280,7655722000,55869885523.0000,0.003997,0.599589,1,,,,,0
2012-11-05,sh.000001,2113.3280,2123.3270,2104.5840,2114.0270,2117.0460,7153876200,53222132005.0000,0.003728,-0.142595,1,,,,,0
2012-11-06,sh.000001,2113.6580,2114.7910,2078.4720,2105.9990,2114.0270,7134385000,53697998810.0000,0.003713,-0.379753,1,,,,,0
2012-11-07,sh.000001,2102.4190,2112.6310,2093.2890,2105.7300,2105.9990,5938012800,47163781132.0000,0.003090,-0.012775,1,,,,,0
2012-11-08,sh.000001,2091.2540,2092.5650,2070.6500,2071.5090,2105.7300,6659456100,49276099893.0000,0.003466,-1.625135,1,,,,,0
2012-11-09,sh.000001,2066.4950,2077.2280,2062.4170,2069.0670,2071.5090,5422346000,39065354573.0000,0.002822,-0.117892,1,,,,,0
2012-11-12,sh.000001,2069.2140,2079.5710,2061.8400,2079.2740,2069.0670,5669485500,42083753188.0000,0.002950,0.493316,1,,,,,0
2012-11-13,sh.000001,2078.1330,2078.1330,2044.0360,2047.8890,2079.2740,6108729300,44605159107.0000,0.003179,-1.509416,1,,,,,0
2012-11-14,sh.000001,2047.2570,2056.4880,2040.1720,2055.4190,2047.8890,4809300000,35883690655.0000,0.002502,0.367691,1,,,,,0
2012-11-15,sh.000001,2045.4560,2053.5600,2029.8740,2030.2900,2055.4190,5055685700,37082797748.0000,0.002631,-1.222569,1,,,,,0
2012-11-16,sh.000001,2026.5630,2028.6860,2001.7160,2014.7250,2030.2900,4958168000,36821292718.0000,0.002580,-0.766642,1,,,,,0
2012-11-19,sh.000001,2013.2460,2018.3800,1995.7210,2016.9820,2014.7250,4532701800,36090720201.0000,0.002355,0.112029,1,,,,,0
2012-11-20,sh.000001,2020.4330,2023.6110,2004.1700,2008.9230,2016.9820,4258063500,33372963548.0000,0.002213,-0.399561,1,,,,,0
2012-11-21,sh.000001,2008.2110,2031.1490,1995.1740,2030.3190,2008.9230,5328202100,39658621481.0000,0.002769,1.065048,1,,,,,0
2012-11-22,sh.000001,2021.2090,2023.0850,2009.7200,2015.6110,2030.3190,4557784700,33727413953.0000,0.002368,-0.724419,1,,,,,0
2012-11-23,sh.000001,2020.0150,2034.8840,2017.0040,2027.3840,2015.6110,5155146900,38278378090.0000,0.002679,0.584094,1,,,,,0
2012-11-26,sh.000001,2023.3390,2027.2740,2014.0290,2017.4640,2027.3840,4477955100,33110722038.0000,0.002326,-0.489303,1,,,,,0
2012-11-27,sh.000001,2012.0750,2014.2110,1990.3360,1991.1650,2017.4640,5662742200,39089182618.0000,0.002942,-1.303565,1,,,,,0
2012-11-28,sh.000001,1984.4800,1984.8630,1968.2130,1973.5230,1991.1650,5050558700,34492569662.0000,0.002623,-0.886019,1,,,,,0
2012-11-29,sh.000001,1972.9250,1980.5560,1961.8220,1963.4880,1973.5230,4954008800,33179657979.0000,0.002573,-0.508477,1,,,,,0
2012-11-30,sh.000001,1961.8150,1983.4190,1959.3340,1980.1170,1963.4880,5689341600,37739106755.0000,0.002955,0.846906,1,,,,,0
2012-12-03,sh.000001,1977.2540,1988.1910,1957.8840,1959.7670,1980.1170,6165337500,43027553647.0000,0.003202,-1.027716,1,,,,,0
2012-12-04,sh.000001,1956.6160,1980.1190,1949.4570,1975.1430,1959.7670,6237812300,43054547446.0000,0.003237,0.784582,1,,,,,0
2012-12-05,sh.000001,1973.1070,2040.6040,1970.2020,2031.9070,1975.1430,11997304000,85475970222.0000,0.006225,2.873920,1,,,,,0
2012-12-06,sh.000001,2029.5620,2036.6090,2018.3790,2029.2370,2031.9070,8145921900,58452526304.0000,0.004227,-0.131400,1,,,,,0
2012-12-07,sh.000001,2028.7660,2065.7450,2023.9610,2061.7860,2029.2370,11515728900,82158975512.0000,0.005975,1.603993,1,,,,,0
2012-12-10,sh.000001,2067.3240,2087.0070,2064.6150,2083.7700,2061.7860,11538322600,81469437287.0000,0.005986,1.066266,1,,,,,0
2012-12-11,sh.000001,2077.5570,2088.6350,2070.1920,2074.7040,2083.7700,9337083000,67930370635.0000,0.004843,-0.435073,1,,,,,0
2012-12-12,sh.000001,2073.2710,2085.9340,2066.3910,2082.7260,2074.7040,7855914200,57115139819.0000,0.004096,0.386656,1,,,,,0
2012-12-13,sh.000001,2077.4160,2081.3630,2059.4720,2061.4760,2082.7260,7227232400,52179639438.0000,0.003768,-1.020297,1,,,,,0
2012-12-14,sh.000001,2062.6890,2152.4960,2062.5430,2150.6250,2061.4760,16087381200,117707099283.0000,0.008386,4.324519,1,,,,,0
2012-12-17,sh.000001,2152.0970,2169.5700,2151.9360,2160.3420,2150.6250,14424221800,110556699913.0000,0.007483,0.451824,1,,,,,0
2012-12-18,sh.000001,2155.8580,2183.7140,2144.7330,2162.4640,2160.3420,12609946700,99028894174.0000,0.006504,0.098228,1,,,,,0
2012-12-19,sh.000001,2158.6700,2175.3950,2154.2870,2162.2390,2162.4640,9439152200,75813180710.0000,0.004869,-0.010409,1,,,,,0
2012-12-20,sh.000001,2156.1930,2174.8190,2142.9510,2168.3530,2162.2390,9938418300,80073490883.0000,0.005127,0.282763,1,,,,,0
2012-12-21,sh.000001,2169.5700,2190.3980,2148.1700,2153.3100,2168.3530,10337287200,84574353484.0000,0.005333,-0.693751,1,,,,,0
2012-12-24,sh.000001,2150.6540,2170.3940,2149.8250,2159.0530,2153.3100,7846966400,67970651968.0000,0.004044,0.266702,1,,,,,0
2012-12-25,sh.000001,2154.3200,2220.2630,2146.8620,2213.6110,2159.0530,14332770800,114873959457.0000,0.007379,2.526946,1,,,,,0
2012-12-26,sh.000001,2211.5940,2220.4750,2206.7870,2219.1320,2213.6110,12185863000,97153766055.0000,0.006274,0.249411,1,,,,,0
2012-12-27,sh.000001,2223.6550,2234.7240,2204.7900,2205.8970,2219.1320,12902350100,100393985354.0000,0.006641,-0.596409,1,,,,,0
2012-12-28,sh.000001,2207.9130,2234.8690,2204.0030,2233.2520,2205.8970,11592493400,91970152857.0000,0.005966,1.240084,1,,,,,0
2012-12-31,sh.000001,2236.4610,2269.5120,2236.4610,2269.1280,2233.2520,12803140200,105541831820.0000,0.006564,1.606446,1,,,,,0
2013-01-04,sh.000001,2289.5100,2296.1130,2256.5600,2276.9920,2269.1280,13946993100,114627763955.0000,0.007150,0.346566,1,,,,,0
2013-01-07,sh.000001,2271.6630,2293.3170,2266.8620,2285.3640,2276.9920,11816281300,96872865891.0000,0.006047,0.367681,1,,,,,0
2013-01-08,sh.000001,2284.6540,2289.1390,2262.9790,2276.0700,2285.3640,12290787700,106428762687.0000,0.006290,-0.406672,1,,,,,0
2013-01-09,sh.000001,2271.2990,2283.8960,2259.0510,2275.3400,2276.0700,12201492400,102823099451.0000,0.006244,-0.032072,1,,,,,0
2013-01-10,sh.000001,2274.3770,2295.4840,2268.6480,2283.6580,2275.3400,12006667600,98236402918.0000,0.006145,0.365566,1,,,,,0
2013-01-11,sh.000001,2285.1850,2290.2050,2234.9470,2242.9970,2283.6580,12506827500,101550951798.0000,0.006399,-1.780516,1,,,,,0
2013-01-14,sh.000001,2236.2880,2317.6170,2235.1070,2311.7400,2242.9970,14474988900,123614926882.0000,0.007405,3.064780,1,,,,,0
2013-01-15,sh.000001,2312.4680,2332.7830,2309.3230,2325.6820,2311.7400,16564598100,141013966842.0000,0.008474,0.603091,1,,,,,0
2013-01-16,sh.000001,2322.1580,2326.7640,2279.5070,2309.4990,2325.6820,15351116700,133107693476.0000,0.007852,-0.695833,1,,,,,0
2013-01-17,sh.000001,2305.1400,2305.6020,2275.8770,2284.9090,2309.4990,11910183500,103214052378.0000,0.006092,-1.064737,1,,,,,0
2013-01-18,sh.000001,2295.8090,2324.5090,2285.9720,2317.0700,2284.9090,12543802600,105391533545.0000,0.006414,1.407546,1,,,,,0
2013-01-21,sh.000001,2321.4900,2329.5810,2305.0990,2328.2210,2317.0700,13468045800,113016061510.0000,0.006887,0.481249,1,,,,,0
2013-01-22,sh.000001,2326.4900,2335.8060,2301.3010,2315.1390,2328.2210,14946658400,123370049377.0000,0.007699,-0.561890,1,,,,,0
2013-01-23,sh.000001,2308.5210,2325.1180,2296.4910,2320.9110,2315.1390,11817972200,96956218661.0000,0.006087,0.249314,1,,,,,0
2013-01-24,sh.000001,2320.2580,2362.9430,2287.2960,2302.5980,2320.9110,16103167400,135604340878.0000,0.008294,-0.789043,1,,,,,0
2013-01-25,sh.000001,2300.0010,2308.3800,2288.2620,2291.3040,2302.5980,9260574100,80267388572.0000,0.004770,-0.490487,1,,,,,0
2013-01-28,sh.000001,2295.3520,2346.9210,2295.3520,2346.5050,2291.3040,12838376000,116916369692.0000,0.006611,2.409149,1,,,,,0
2013-01-29,sh.000001,2347.2150,2363.7970,2337.3530,2358.9770,2346.5050,14185393400,124916965356.0000,0.007304,0.531521,1,,,,,0
2013-01-30,sh.000001,2360.7480,2383.7630,2347.8900,2382.4750,2358.9770,14987890700,124856037030.0000,0.007717,0.996112,1,,,,,0
2013-01-31,sh.000001,2383.4260,2391.8210,2371.2260,2385.4220,2382.4750,13970789200,116205036970.0000,0.007183,0.123696,1,,,,,0
2013-02-01,sh.000001,2377.4140,2421.1540,2369.5700,2419.0200,2385.4220,14081817200,125554958223.0000,0.007240,1.408468,1,,,,,0
2013-02-04,sh.000001,2425.9210,2440.3760,2417.5850,2428.1540,2419.0200,16755140200,152533693371.0000,0.008608,0.377592,1,,,,,0
2013-02-05,sh.000001,2411.0010,2437.4150,2403.3020,2433.1300,2428.1540,15075450500,127096113122.0000,0.007745,0.204922,1,,,,,0
2013-02-06,sh.000001,2432.6770,2441.7260,2427.6990,2434.4770,2433.1300,11657996600,104583536940.0000,0.005989,0.055368,1,,,,,0
2013-02-07,sh.000001,2430.6880,2433.8930,2394.2180,2418.5300,2434.4770,12000863400,109335068114.0000,0.006166,-0.655049,1,,,,,0
2013-02-08,sh.000001,2416.6190,2443.0320,2414.3980,2432.4020,2418.5300,10907038600,98965224617.0000,0.005603,0.573574,1,,,,,0
2013-02-18,sh.000001,2441.9060,2444.8040,2415.4290,2421.5580,2432.4020,11617499400,103657025088.0000,0.005951,-0.445814,1,,,,,0
2013-02-19,sh.000001,2420.2650,2427.0750,2373.5350,2382.9140,2421.5580,12347333400,106330944989.0000,0.006324,-1.595834,1,,,,,0
2013-02-20,sh.000001,2383.4930,2397.9410,2370.6080,2397.1780,2382.9140,11028057700,97222298954.0000,0.005649,0.598591,1,,,,,0
2013-02-21,sh.000001,2378.8220,2378.8220,2309.1710,2325.9510,2397.1780,14405947800,126627831357.0000,0.007379,-2.971288,1,,,,,0
2013-02-22,sh.000001,2322.9400,2330.8790,2308.7600,2314.1640,2325.9510,9698182800,87579820983.0000,0.004968,-0.506755,1,,,,,0
2013-02-25,sh.000001,2320.6180,2338.7800,2315.0120,2325.8190,2314.1640,8836737400,77642340941.0000,0.004521,0.503639,1,,,,,0
2013-02-26,sh.000001,2313.7400,2340.7090,2289.8870,2293.3410,2325.8190,11763866700,105917189188.0000,0.006009,-1.396412,1,,,,,0
2013-02-27,sh.000001,2297.7670,2324.6270,2292.0340,2313.2200,2293.3410,9782488700,88262924234.0000,0.004997,0.866810,1,,,,,0
2013-02-28,sh.000001,2322.3230,2366.1640,2308.9160,2365.5930,2313.2200,12695049400,115918268401.0000,0.006484,2.264076,1,,,,,0
2013-03-01,sh.000001,2364.5440,2369.6490,2330.8580,2359.5060,2365.5930,12031275200,111531114205.0000,0.006144,-0.257310,1,,,,,0
2013-03-04,sh.000001,2332.0800,2333.5400,2259.2470,2273.4040,2359.5060,16175002500,143046508680.0000,0.008259,-3.649156,1,,,,,0
2013-03-05,sh.000001,2274.8080,2328.1430,2270.1000,2326.3060,2273.4040,13113659800,116721195608.0000,0.006696,2.326989,1,,,,,0
2013-03-06,sh.000001,2333.6150,2351.4410,2321.6000,2347.1790,2326.3060,14133369200,125364797765.0000,0.007215,0.897262,1,,,,,0
2013-03-07,sh.000001,2340.4360,2352.0210,2304.2700,2324.2930,2347.1790,13975634800,126085892200.0000,0.007135,-0.975042,1,,,,,0
2013-03-08,sh.000001,2326.4170,2333.6670,2314.5870,2318.6110,2324.2930,9879414800,88438607018.0000,0.005044,-0.244456,1,,,,,0
2013-03-11,sh.000001,2314.6830,2320.9610,2296.5830,2310.5930,2318.6110,8411190300,73919947382.0000,0.004294,-0.345813,1,,,,,0
2013-03-12,sh.000001,2309.1580,2333.2860,2264.8290,2286.6050,2310.5930,11766445600,100637092926.0000,0.006006,-1.038177,1,,,,,0
2013-03-13,sh.000001,2282.1700,2286.3290,2253.2490,2263.9680,2286.6050,9097278800,77688955841.0000,0.004643,-0.989981,1,,,,,0
2013-03-14,sh.000001,2255.7750,2276.2220,2253.3100,2270.2770,2263.9680,8029408600,69218592825.0000,0.004098,0.278674,1,,,,,0
2013-03-15,sh.000001,2269.3150,2312.0780,2250.0050,2278.4010,2270.2770,11647781300,101578107326.0000,0.005942,0.357832,1,,,,,0
2013-03-18,sh.000001,2267.2870,2276.0500,2239.2140,2240.0160,2278.4010,9312277200,81486175707.0000,0.004750,-1.684724,1,,,,,0
2013-03-19,sh.000001,2244.2650,2261.3140,2232.0230,2257.4340,2240.0160,8758210500,75512072273.0000,0.004467,0.777582,1,,,,,0
2013-03-20,sh.000001,2257.7370,2317.8600,2257.4210,2317.3740,2257.4340,13124128400,113974254023.0000,0.006694,2.655225,1,,,,,0
2013-03-21,sh.000001,2318.2050,2330.8130,2311.6030,2324.2420,2317.3740,11920091000,104786065215.0000,0.006078,0.296366,1,,,,,0
2013-03-22,sh.000001,2321.4030,2331.9950,2314.9670,2328.2780,2324.2420,10116729900,85951321520.0000,0.005158,0.173654,1,,,,,0
2013-03-25,sh.000001,2334.7350,2344.8940,2319.9080,2326.7150,2328.2780,9703152600,85418622369.0000,0.004947,-0.067131,1,,,,,0
2013-03-26,sh.000001,2318.5780,2319.9880,2281.1180,2297.6690,2326.7150,10444901500,91811327564.0000,0.005325,-1.248376,1,,,,,0
2013-03-27,sh.000001,2299.3770,2323.4770,2288.9950,2301.2590,2297.6690,9633119500,85708419365.0000,0.004911,0.156249,1,,,,,0
2013-03-28,sh.000001,2273.5520,2273.5520,2232.9060,2236.3020,2301.2590,12765869800,107593508390.0000,0.006508,-2.822674,1,,,,,0
2013-03-29,sh.000001,2238.4850,2246.8680,2228.8130,2236.6210,2236.3020,8556547300,73358185133.0000,0.004361,0.014269,1,,,,,0
2013-04-01,sh.000001,2229.4600,2243.9490,2227.3140,2234.3950,2236.6210,7741177400,66997534038.0000,0.003934,-0.099528,1,,,,,0
2013-04-02,sh.000001,2234.9010,2253.4210,2220.4390,2227.7400,2234.3950,8971432300,77596667316.0000,0.004559,-0.297845,1,,,,,0
2013-04-03,sh.000001,2232.6940,2241.3400,2217.2520,2225.2950,2227.7400,8179526700,68801356871.0000,0.004156,-0.109756,1,,,,,0
2013-04-08,sh.000001,2196.2380,2212.5860,2180.6730,2211.5920,2225.2950,8625747000,73666169988.0000,0.004383,-0.615778,1,,,,,0
2013-04-09,sh.000001,2215.4670,2234.7250,2215.4670,2225.7750,2211.5920,8289654400,73135035445.0000,0.004212,0.641296,1,,,,,0
2013-04-10,sh.000001,2224.9340,2233.0400,2212.5610,2226.1260,2225.7750,8061962100,71090219578.0000,0.004096,0.015773,1,,,,,0
2013-04-11,sh.000001,2236.9830,2242.4790,2217.2650,2219.5530,2226.1260,7363270400,62132700158.0000,0.003741,-0.295266,1,,,,,0
2013-04-12,sh.000001,2218.0950,2226.2620,2204.4380,2206.7800,2219.5530,6684634000,56196878022.0000,0.003396,-0.575474,1,,,,,0
2013-04-15,sh.000001,2199.9140,2204.9870,2177.3880,2181.9420,2206.7800,7163232300,58162177672.0000,0.003638,-1.125537,1,,,,,0
2013-04-16,sh.000001,2169.6300,2196.4320,2165.7840,2194.8460,2181.9420,7999217800,66955845024.0000,0.004063,0.591402,1,,,,,0
2013-04-17,sh.000001,2195.0320,2197.5080,2178.4680,2193.7960,2194.8460,6831418100,59986556162.0000,0.003469,-0.047842,1,,,,,0
2013-04-18,sh.000001,2181.8220,2206.0270,2175.4440,2197.6020,2193.7960,7161692700,61888122713.0000,0.003637,0.173496,1,,,,,0
2013-04-19,sh.000001,2201.1220,2250.1100,2200.5840,2244.6430,2197.6020,10966055600,95383012019.0000,0.005566,2.140561,1,,,,,0
2013-04-22,sh.000001,2236.4020,2245.1190,2232.2580,2242.1690,2244.6430,9523373000,82244998209.0000,0.004833,-0.110223,1,,,,,0
2013-04-23,sh.000001,2242.6160,2242.6160,2182.8060,2184.5380,2242.1690,9654131500,82217516673.0000,0.004899,-2.570318,1,,,,,0
2013-04-24,sh.000001,2187.3490,2226.1170,2184.1090,2218.3180,2184.5380,9160026100,78977211750.0000,0.004648,1.546324,1,,,,,0
2013-04-25,sh.000001,2213.1850,2224.6300,2191.8480,2199.3070,2218.3180,9670418800,84483236302.0000,0.004907,-0.857011,1,,,,,0
2013-04-26,sh.000001,2203.8890,2210.5810,2173.8640,2177.9120,2199.3070,7667397000,65251506871.0000,0.003889,-0.972796,1,,,,,0
2013-05-02,sh.000001,2170.7830,2179.6470,2161.1400,2174.1230,2177.9120,6833793600,59877609929.0000,0.003464,-0.173977,1,,,,,0
2013-05-03,sh.000001,2179.0490,2222.8110,2179.0490,2205.4970,2174.1230,8858346400,78315703425.0000,0.004489,1.443066,1,,,,,0
2013-05-06,sh.000001,2212.4950,2236.0660,2212.4950,2231.1660,2205.4970,9226814600,81625607393.0000,0.004676,1.163862,1,,,,,0
2013-05-07,sh.000001,2227.8610,2240.2560,2219.4350,2235.5750,2231.1660,8645235600,79040924815.0000,0.004381,0.197607,1,,,,,0
2013-05-08,sh.000001,2242.3930,2255.2080,2235.4170,2246.3000,2235.5750,9037193300,81390848352.0000,0.004579,0.479747,1,,,,,0
2013-05-09,sh.000001,2246.9630,2247.8640,2221.3840,2232.9710,2246.3000,9853163700,91165292599.0000,0.004993,-0.593380,1,,,,,0
2013-05-10,sh.000001,2228.8190,2247.6740,2225.8120,2246.8310,2232.9710,9033547600,81280141888.0000,0.004575,0.620703,1,,,,,0
2013-05-13,sh.000001,2247.6780,2250.8540,2231.3630,2241.9200,2246.8310,8621122400,79191481239.0000,0.004367,-0.218580,1,,,,,0
2013-05-14,sh.000001,2238.9040,2239.9260,2205.8730,2217.0100,2241.9200,8324497500,75660470722.0000,0.004222,-1.111097,1,,,,,0
2013-05-15,sh.000001,2217.0860,2225.1860,2213.5820,2224.7970,2217.0100,7172289300,66658263971.0000,0.003637,0.351244,1,,,,,0
2013-05-16,sh.000001,2221.3370,2252.8720,2210.7700,2251.8060,2224.7970,11028437600,102255271577.0000,0.005591,1.213989,1,,,,,0
2013-05-17,sh.000001,2249.8110,2288.0910,2248.4130,2282.8700,2251.8060,12612600600,111248809084.0000,0.006393,1.379524,1,,,,,0
2013-05-20,sh.000001,2286.3280,2309.3920,2281.8990,2299.9860,2282.8700,13915051400,128843530373.0000,0.007050,0.749757,1,,,,,0
2013-05-21,sh.000001,2297.1100,2305.3010,2290.1240,2305.1140,2299.9860,12417317600,113025213273.0000,0.006291,0.222955,1,,,,,0
2013-05-22,sh.000001,2303.7500,2314.1830,2292.4310,2302.4030,2305.1140,12836002560,115149320192.0000,0.006492,-0.117605,1,,,,,0
2013-05-23,sh.000001,2293.8090,2304.9530,2274.1020,2275.6670,2302.4030,12401984400,111052052962.0000,0.006275,-1.161225,1,,,,,0
2013-05-24,sh.000001,2281.4450,2292.5950,2270.2500,2288.5330,2275.6670,10144121300,92021526802.0000,0.005132,0.565371,1,,,,,0
2013-05-27,sh.000001,2286.6610,2301.7020,2283.9350,2293.0770,2288.5330,10732506100,99920157617.0000,0.005429,0.198553,1,,,,,0
2013-05-28,sh.000001,2293.4000,2322.0990,2281.4680,2321.3180,2293.0770,13263299500,120352501440.0000,0.006709,1.231586,1,,,,,0
2013-05-29,sh.000001,2323.5390,2334.3350,2321.1660,2324.0170,2321.3180,12525072900,114311551701.0000,0.006336,0.116269,1,,,,,0
2013-05-30,sh.000001,2316.2530,2325.7210,2310.4920,2317.7490,2324.0170,11191303200,103546766846.0000,0.005661,-0.269708,1,,,,,0
2013-05-31,sh.000001,2320.7390,2325.5340,2299.3690,2300.5950,2317.7490,10816255488,100597837824.0000,0.005471,-0.740117,1,,,,,0
2013-06-03,sh.000001,2300.2090,2313.4250,2294.1130,2299.2520,2300.5950,9688281344,91601682432.0000,0.004862,-0.058377,1,,,,,0
2013-06-04,sh.000001,2297.1000,2297.1000,2264.7610,2272.4160,2299.2520,10189581800,92377181551.0000,0.005112,-1.167160,1,,,,,0
2013-06-05,sh.000001,2270.7120,2276.8650,2260.8710,2270.9310,2272.4160,7648330300,71142676053.0000,0.003837,-0.065354,1,,,,,0
2013-06-06,sh.000001,2264.4250,2266.6920,2240.0700,2242.1100,2270.9310,8153869400,75261584761.0000,0.004088,-1.269118,1,,,,,0
2013-06-07,sh.000001,2242.2630,2250.6290,2205.0660,2210.8980,2242.1100,8997807700,81058352191.0000,0.004502,-1.392089,1,,,,,0
